City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
293,mahanoro,MG,-19.9,48.8,1602860959,74.7,83,2,6.55
294,tacuarembo,UY,-31.73,-55.98,1602861233,74.14,66,0,11.03
295,itanhem,BR,-17.17,-40.33,1602861233,80.44,68,92,8.99
296,villaviciosa,ES,43.48,-5.44,1602861233,61,62,27,7.63
297,mezen,RU,65.85,44.24,1602860971,33.6,97,100,7.87
298,collierville,US,35.04,-89.66,1602861234,57,66,5,5.82
299,portland,US,45.52,-122.68,1602861019,48.2,93,40,3.36
300,khammam,IN,17.25,80.15,1602861234,79.32,80,100,2.84
301,cockburn town,TC,21.46,-71.14,1602861234,83.44,79,2,15.82
302,poum,NC,-20.23,164.02,1602861005,72.95,79,60,6.26
303,arrifes,PT,37.77,-25.7,1602861234,71.6,73,40,9.17
304,ekuvukeni,ZA,-28.47,30.16,1602861234,72.45,45,14,11.99
305,itacoatiara,BR,-3.14,-58.44,1602860968,96.71,36,13,5.17
306,morondava,MG,-20.28,44.28,1602861235,78.98,72,19,13.09
307,otradnoye,RU,59.78,30.82,1602860947,41,65,75,6.71
308,amga,RU,60.9,131.96,1602861235,18.68,95,98,3.31
309,ghanzi,BW,-21.57,21.78,1602861235,92.57,13,24,15.97
310,sabang,ID,5.89,95.32,1602861025,83.12,76,34,19.51
311,yulara,AU,-25.24,130.99,1602861006,86,20,0,10.29
312,japura,ID,-0.32,102.35,1602861235,78.01,84,89,1.68
313,mareeba,AU,-17,145.43,1602861235,71.6,73,40,6.93
314,karratha,AU,-20.74,116.85,1602861236,71.8,68,0,16.64
315,nalut,LY,30.33,10.85,1602861236,92.39,11,52,14.9
316,panlaitan,PH,12.12,119.85,1602861236,81.52,79,99,12.75
317,abu zabad,SD,12.35,29.25,1602861236,97.05,19,36,3.6
318,port-gentil,GA,-0.72,8.78,1602861236,82.4,69,75,13.87
319,maxixe,MZ,-23.86,35.35,1602861236,82,65,0,11.41
320,maragogi,BR,-9.01,-35.22,1602861237,82.36,63,37,10.4
321,villa del rosario,CO,7.83,-72.47,1602860947,89.6,46,20,20.8
322,murray bridge,AU,-35.12,139.27,1602861002,55.99,95,99,9.24
323,huilong,CN,31.81,121.66,1602861237,60.01,93,93,6.98
324,itamaraca,BR,-7.75,-34.83,1602861237,82.4,69,40,9.17
325,chitral,PK,35.85,71.79,1602861237,63.9,27,0,1.61
326,kahramanmaras,TR,38,37,1602861237,78.8,50,20,18.34
327,belmonte,BR,-15.86,-38.88,1602861238,82.4,61,40,8.05
328,talnakh,RU,69.49,88.4,1602861238,23,92,40,8.95
329,jaca,ES,42.57,-0.55,1602861238,57.99,44,1,3.31
330,gilgit,PK,35.92,74.31,1602861238,67.03,24,0,1.57
331,saint-joseph,RE,-21.37,55.62,1602861238,75.2,78,49,10.29
332,meiktila,MM,20.87,95.87,1602860984,79.61,77,12,2.73
333,jumla,NP,29.27,82.18,1602861238,53.92,64,1,2.77
334,fasa,IR,28.94,53.65,1602861238,73.4,9,0,6.93
335,iqaluit,CA,63.75,-68.51,1602860999,33.8,98,90,8.05
336,betafo,MG,-19.83,46.85,1602861239,69.24,66,63,2.66
337,torbay,CA,47.67,-52.73,1602861239,57,100,90,2.24
338,xining,CN,36.62,101.77,1602860986,40.05,66,0,2.19
339,santa helena de goias,BR,-17.81,-50.6,1602861239,89.24,42,36,8.12
340,gopalpur,IN,19.27,84.92,1602861239,81.19,84,3,4.29
341,villazon,BO,-22.09,-65.59,1602861239,52.59,56,100,2.44
342,sorland,NO,67.67,12.69,1602861239,44.6,81,90,10.29
343,chulym,RU,55.1,80.96,1602861240,43.54,75,100,13.51
344,pec,XK,42.66,20.29,1602861240,60.8,63,40,11.41
345,inuvik,CA,68.35,-133.72,1602861240,21.2,79,90,11.41
346,burnie,AU,-41.07,145.92,1602861086,48.99,71,100,8.01
347,oistins,BB,13.07,-59.53,1602861240,87.8,70,40,18.34
348,asosa,ET,10.07,34.53,1602861240,66.97,92,97,3.27
349,caledon,ZA,-34.23,19.43,1602861240,82,55,0,3
350,paveh,IR,35.04,46.36,1602861241,51.8,46,6,1.81
351,sehithwa,BW,-20.47,22.72,1602861241,94.98,10,52,15.12
352,vao,NC,-22.67,167.48,1602861241,69.62,83,16,19.15
353,sarahan,IN,31.52,77.8,1602861241,54.48,39,0,4.32
354,seoul,KR,37.57,126.98,1602861179,50,87,40,2.82
355,noumea,NC,-22.28,166.46,1602861241,66.2,93,75,2.24
356,port hueneme,US,34.15,-119.2,1602861241,80.01,59,1,1.32
357,wonthaggi,AU,-38.6,145.59,1602861242,55,94,100,12.46
358,ust-kuyga,RU,70.02,135.6,1602861242,16.03,96,100,5.01
359,krasnoarmeysk,RU,51.02,45.7,1602861182,63,46,100,1.99
360,kaoma,ZM,-14.78,24.8,1602861242,89.19,23,0,9.55
361,belozerskoye,RU,55.82,65.58,1602861242,54.25,56,67,10.67
362,trujillo,PE,-8.12,-79.03,1602861003,60.8,87,90,8.05
363,fenyi,CN,27.81,114.67,1602861242,60.22,93,100,3.09
364,nosy varika,MG,-20.58,48.53,1602860959,74.77,83,22,6.53
365,sumbe,AO,-11.21,13.84,1602861243,80.6,83,75,6.93
366,kozhva,RU,65.11,57.05,1602861243,28.8,96,100,9.48
367,durban,ZA,-29.86,31.03,1602861150,70,73,75,5.82
368,rosetta,EG,31.4,30.42,1602861243,82.4,51,0,11.41
369,kuching,MY,1.55,110.33,1602861243,80.6,94,20,1.12
370,bauchi,NG,10.5,10,1602861243,92.57,31,42,9.93
371,faanui,PF,-16.48,-151.75,1602861244,78.28,80,51,7.83
372,ruwi,OM,23.6,58.55,1602861244,84.2,42,0,3.36
373,churapcha,RU,62,132.43,1602860972,14.04,94,84,6.06
374,cabedelo,BR,-6.98,-34.83,1602861244,86,55,40,11.41
375,sayat,TM,38.78,63.88,1602861244,68,28,0,6.93
376,hengelo,NL,52.27,6.79,1602861244,52,69,84,5.99
377,susa,TN,35.83,10.64,1602861244,75.99,40,17,3.36
378,porto walter,BR,-8.27,-72.74,1602861245,80.33,71,97,2.55
379,constitucion,CL,-35.33,-72.42,1602861245,59.38,73,2,10.96
380,lima,PE,-12.04,-77.03,1602861071,64.4,82,90,5.82
381,touros,BR,-5.2,-35.46,1602861245,86,55,40,13.87
382,camopi,GF,3.17,-52.32,1602861245,95.68,29,16,5.28
383,quixada,BR,-4.97,-39.02,1602861245,98.02,22,4,8.16
384,andenes,NO,69.31,16.12,1602860960,41,93,75,18.34
385,artigas,UY,-30.4,-56.47,1602861245,75,70,2,13.33
386,broken hill,AU,-31.95,141.43,1602861246,68,60,75,12.75
387,iquitos,PE,-3.75,-73.25,1602860985,77,88,75,5.82
